# Copyright (C) 2021  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.0 Build 842 10/21/2021 SJ Lite Edition
# File: E:\git\slot-machine-v2\docs\pin_assignments.csv
# Generated on: Fri Jan  2 23:37:03 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX34,Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
HEX35,Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
HEX36,Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
HEX40,Output,PIN_F18,6,B6_N0,PIN_F18,2.5 V,,,,,
HEX41,Output,PIN_E20,6,B6_N0,PIN_E20,2.5 V,,,,,
HEX42,Output,PIN_E19,6,B6_N0,PIN_E19,2.5 V,,,,,
HEX43,Output,PIN_J18,6,B6_N0,PIN_J18,2.5 V,,,,,
HEX44,Output,PIN_H19,6,B6_N0,PIN_H19,2.5 V,,,,,
HEX45,Output,PIN_F19,6,B6_N0,PIN_F19,2.5 V,,,,,
HEX46,Output,PIN_F20,6,B6_N0,PIN_F20,2.5 V,,,,,
HEX50,Output,PIN_J20,6,B6_N0,PIN_J20,2.5 V,,,,,
HEX51,Output,PIN_K20,6,B6_N0,PIN_K20,2.5 V,,,,,
HEX52,Output,PIN_L18,6,B6_N0,PIN_L18,2.5 V,,,,,
HEX53,Output,PIN_N18,6,B6_N0,PIN_N18,2.5 V,,,,,
HEX54,Output,PIN_M20,6,B6_N0,PIN_M20,2.5 V,,,,,
HEX55,Output,PIN_N19,6,B6_N0,PIN_N19,2.5 V,,,,,
HEX56,Output,PIN_N20,6,B6_N0,PIN_N20,2.5 V,,,,,
KEY0,Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
KEY1,Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
LEDR0,Output,PIN_A8,7,B7_N0,PIN_A8,2.5 V,,,,,
LEDR1,Output,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
LEDR2,Output,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
LEDR3,Output,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
LEDR4,Output,PIN_D13,7,B7_N0,PIN_D13,2.5 V,,,,,
LEDR5,Output,PIN_C13,7,B7_N0,PIN_C13,2.5 V,,,,,
LEDR6,Output,PIN_E14,7,B7_N0,PIN_E14,2.5 V,,,,,
LEDR7,Output,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
LEDR8,Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
LEDR9,Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
MAX10_CLK1_50,Input,PIN_P11,3,B3_N0,PIN_P11,2.5 V,,,,,
SW0,Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
SW1,Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
SW2,Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
SW9,Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
SW3,Unknown,PIN_C12,7,B7_N0,,,,,,,
SW4,Unknown,PIN_A12,7,B7_N0,,,,,,,
SW5,Unknown,PIN_B12,7,B7_N0,,,,,,,
SW6,Unknown,PIN_A13,7,B7_N0,,,,,,,
SW7,Unknown,PIN_A14,7,B7_N0,,,,,,,
SW8,Unknown,PIN_B14,7,B7_N0,,,,,,,
HEX10,Unknown,PIN_C18,7,B7_N0,,,,,,,
HEX11,Unknown,PIN_D18,6,B6_N0,,,,,,,
HEX12,Unknown,PIN_E18,6,B6_N0,,,,,,,
HEX13,Unknown,PIN_B16,7,B7_N0,,,,,,,
HEX14,Unknown,PIN_A17,7,B7_N0,,,,,,,
HEX15,Unknown,PIN_A18,7,B7_N0,,,,,,,
HEX16,Unknown,PIN_B17,7,B7_N0,,,,,,,
HEX20,Unknown,PIN_B20,6,B6_N0,,,,,,,
HEX21,Unknown,PIN_A20,7,B7_N0,,,,,,,
HEX22,Unknown,PIN_B19,7,B7_N0,,,,,,,
HEX23,Unknown,PIN_A21,6,B6_N0,,,,,,,
HEX24,Unknown,PIN_B21,6,B6_N0,,,,,,,
HEX25,Unknown,PIN_C22,6,B6_N0,,,,,,,
HEX26,Unknown,PIN_B22,6,B6_N0,,,,,,,
KEYR0,Unknown,PIN_AB2,3,B3_N0,,,,,,,
KEYR1,Unknown,PIN_AB3,3,B3_N0,,,,,,,
KEYR2,Unknown,PIN_AA5,3,B3_N0,,,,,,,
KEYR3,Unknown,PIN_AA6,3,B3_N0,,,,,,,
KEYC0,Unknown,PIN_Y5,3,B3_N0,,,,,,,
KEYC1,Unknown,PIN_Y4,3,B3_N0,,,,,,,
KEYC2,Unknown,PIN_Y3,3,B3_N0,,,,,,,
KEYC3,Unknown,PIN_AA2,3,B3_N0,,,,,,,
VGA_R0,Unknown,PIN_AA1,3,B3_N0,,,,,,,
VGA_R1,Unknown,PIN_V1,2,B2_N0,,,,,,,
VGA_R2,Unknown,PIN_Y2,3,B3_N0,,,,,,,
VGA_R3,Unknown,PIN_Y1,3,B3_N0,,,,,,,
VGA_G0,Unknown,PIN_W1,2,B2_N0,,,,,,,
VGA_G1,Unknown,PIN_T2,2,B2_N0,,,,,,,
VGA_G2,Unknown,PIN_R2,2,B2_N0,,,,,,,
VGA_G3,Unknown,PIN_R1,2,B2_N0,,,,,,,
VGA_B0,Unknown,PIN_P1,2,B2_N0,,,,,,,
VGA_B1,Unknown,PIN_T1,2,B2_N0,,,,,,,
VGA_B2,Unknown,PIN_P4,2,B2_N0,,,,,,,
VGA_B3,Unknown,PIN_N2,2,B2_N0,,,,,,,
VGA_HS,Unknown,PIN_N3,2,B2_N0,,,,,,,
VGA_VS,Unknown,PIN_N1,2,B2_N0,,,,,,,
